band_pid,issue_pid,issue_number,year,manifest_url,author,title,pages,issn,error
wsw-001:1979:1,wsw-001:1979:1::343,3,1979,https://www.e-periodica.ch/iiif/wsw-001:1979:1::379/manifest,,Inhaltsverzeichnis,67-67,0172-1623,
wsw-001:1980:2,wsw-001:1980:2::274,4,1980,https://www.e-periodica.ch/iiif/wsw-001:1980:2::275/manifest,,Titelseiten,,0172-1623,
wsw-001:1980:2,wsw-001:1980:2::274,4,1980,https://www.e-periodica.ch/iiif/wsw-001:1980:2::276/manifest,,Nachrichten,2-2,0172-1623,
wsw-001:1980:2,wsw-001:1980:2::274,4,1980,https://www.e-periodica.ch/iiif/wsw-001:1980:2::277/manifest,,Editorial,3-3,0172-1623,
wsw-001:1980:2,wsw-001:1980:2::274,4,1980,https://www.e-periodica.ch/iiif/wsw-001:1980:2::278/manifest,,Diskussion,4-5,0172-1623,
wsw-001:1980:2,wsw-001:1980:2::274,4,1980,https://www.e-periodica.ch/iiif/wsw-001:1980:2::279/manifest,[s.n.],Im Dienst an Volk und Rasse,6-6,0172-1623,
wsw-001:1980:2,wsw-001:1980:2::274,4,1980,https://www.e-periodica.ch/iiif/wsw-001:1980:2::280/manifest,"Mehrtens, Herbert",Unter dem Schutz von Prof. Krauch : Naturwissenschaft-Faschismus-Industrie,7-14,0172-1623,
wsw-001:1980:2,wsw-001:1980:2::274,4,1980,https://www.e-periodica.ch/iiif/wsw-001:1980:2::281/manifest,"Wuttke-Groneberg, Walter",Heilkräutergarten und KZ,15-19,0172-1623,
wsw-001:1980:2,wsw-001:1980:2::274,4,1980,https://www.e-periodica.ch/iiif/wsw-001:1980:2::282/manifest,[s.n.],Widerstand : Robert Havemann,20-21,0172-1623,
wsw-001:1980:2,wsw-001:1980:2::274,4,1980,https://www.e-periodica.ch/iiif/wsw-001:1980:2::284/manifest,[s.n.],Widerstand : Heinrich Wieland,21-21,0172-1623,
